Date,Open,High,Low,Close ,Adj Close ,Volume
2024-10-01,276.97,279.06,274.36,277.6,276.61,5781600
2024-09-30,275,275.69,273.2,274.95,273.97,5969900
2024-09-27,273.16,277.98,272.78,275.17,274.19,6509600
2024-09-26,270.5,273.24,270,271.69,270.72,9552500
2024-09-25,274.19,274.25,268.23,269.63,268.67,11671300
2024-09-24,280.18,281,272.71,272.78,271.81,13690200
2024-09-23,284.9,288.88,284.62,288.63,287.6,6505600
2024-09-20,285.5,287,283.25,284.77,283.75,27810900
2024-09-19,291.09,291.48,282.87,285.24,284.22,10382100
2024-09-18,291.84,292.02,288.13,288.48,287.45,5890000
2024-09-17,290.9,293.07,290.08,291.56,290.52,5135700
2024-09-16,288.05,290.9,287.74,290.48,289.44,4458900
2024-09-13,286.49,288.74,285.55,287.35,286.32,4987600
2024-09-12,284,286,281.47,285.37,284.35,4161200
2024-09-11,285.02,285.17,278.3,283.96,282.95,6281800
2024-09-10,285.93,286.4,283.57,285.34,284.32,5314400
2024-09-09,282.09,286.97,281.65,285.61,284.59,10933900
2024-09-06,277.77,280.28,277.43,279.37,278.37,7187700
2024-09-05,281,281.5,277.41,278.62,277.62,6447400
2024-09-04,278.71,281.65,278.7,280.49,279.49,6107500
2024-09-03,276.37,282.09,276.37,278.54,277.54,7278300
2024-08-30,275,276.99,274.26,276.37,275.38,6296100
2024-08-29,270.98,275.99,270.45,274.32,273.34,5565100
2024-08-28,271.16,271.98,267.67,269.19,268.23,5455100
2024-08-27,268.52,270.95,267.89,270.72,269.75,6594100
2024-08-26,267.72,270.37,267.67,268.21,267.25,4612200
2024-08-23,268.7,269.21,265.31,267.44,266.48,3697400
2024-08-22,268.94,269.5,266.57,267.94,266.98,4425200
2024-08-21,268.56,269.27,267.39,268.2,267.24,6639700
2024-08-20,267,268.04,265.78,268.04,267.08,6803600
2024-08-19,267.42,268.31,265.23,266.47,265.52,6555900
2024-08-16,266.85,268.44,265.39,267.38,266.42,5111100
2024-08-15,262.84,267.39,262.84,266.8,265.85,7397800
2024-08-14,260.87,261.5,258.74,261.14,260.21,8552300
2024-08-13,260.13,261.68,259.27,260.13,259.2,12005700
2024-08-12,260.5,261.6,259.24,259.89,258.96,26769400
2024-08-09,0.52 Dividend,,,,,
2024-08-09,259.17,261.52,259.01,259.76,258.83,7228100
2024-08-08,258.13,260.45,257.92,259.83,258.38,8223700
2024-08-07,259.66,262.03,256.31,256.52,255.09,12908600
2024-08-06,256.5,260.49,255.77,258.26,256.82,21586800
2024-08-05,261.45,262.92,254.51,256.44,255.01,9631300
2024-08-02,263.83,267.96,262.88,266.58,265.1,7017900
